,machine_type,machine_id,machine_type_id,normal,abnormal,db
0,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000000.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000000.wav,0dB
1,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000001.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000001.wav,0dB
2,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000002.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000002.wav,0dB
3,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000003.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000003.wav,0dB
4,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000004.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000004.wav,0dB
5,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000005.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000005.wav,0dB
6,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000006.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000006.wav,0dB
7,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000007.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000007.wav,0dB
8,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000008.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000008.wav,0dB
9,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000009.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000009.wav,0dB
10,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000010.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000010.wav,0dB
11,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000011.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000011.wav,0dB
12,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000012.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000012.wav,0dB
13,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000013.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000013.wav,0dB
14,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000014.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000014.wav,0dB
15,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000015.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000015.wav,0dB
16,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000016.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000016.wav,0dB
17,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000017.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000017.wav,0dB
18,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000018.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000018.wav,0dB
19,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000019.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000019.wav,0dB
20,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000020.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000020.wav,0dB
21,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000021.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000021.wav,0dB
22,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000022.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000022.wav,0dB
23,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000023.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000023.wav,0dB
24,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000024.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000024.wav,0dB
25,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000025.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000025.wav,0dB
26,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000026.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000026.wav,0dB
27,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000027.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000027.wav,0dB
28,fan,id_00,fan_id_00,/data/home/mimii/dataset/0dB/fan/id_00/normal/00000028.wav,/data/home/mimii/dataset/0dB/fan/id_00/abnormal/00000028.wav,0dB
